rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
RUMAH MEWAH DI PERUMAHAN ELITE BALE AGUNG RESIDENCE SLEMAN,"Mlati, Sleman",Rp 8.000.000.000,7,750,463
RUMAH MEWAH DI KAWASAN ELIT JOGJA UTARA 12 MENIT KE UGM,"Ngaglik, Sleman",Rp 5.523.000.000,4,298,179
"Dijual Rumah di Perum Griya Mahkota, Jogjakarta",Yogyakarta,Rp 3.250.000.000,4,250,280
Rumah Minimalis Proses Bangun 2 LT Dekat UMY -,"Bantul, Bantul",Rp 950.000.000,3,115,115
Rumah Murah Kulonprogo 5 Menit Ke Pemda Wates SHM Ready,"Wates, Kulon Progo",Rp 288.000.000,2,36,98
"AMAIA PRIVILEGE RESIDENCE (SIDOKARTO, GODEAN)","Godean, Sleman",Rp 1.047.000.000,3,110,106
DIJUAL RUMAH SIAP HUNI DEKAT UII PUSAT,"Ngaglik, Sleman",Rp 1.195.000.000,3,100,121
Rumah Mewah Inden dekat UGM bebas pilih desain sesuka hati,"Berbah, Sleman",Rp 650.000.000,3,75,120
vila di Kaliurang,"Pakem, Sleman",Rp 1.200.000.000,4,300,766
Rumah di Celeban Glagahsari Umbulharjo Murah Strategis,"Umbulharjo, Yogyakarta",Rp 900.000.000,4,100,113
BISA DP 0% RUMAH 200 JUTAAN DI KOTA WONOSARI TEPI JALAN PROVINSI,"Wonosari, Gunung Kidul",Rp 260.000.000,2,36,60
Rumah Baru Proses Finishing dalam perum hanya 10 menit dari UGM,"Ngaglik, Sleman",Rp 1.488.888.888,3,106,105
RUMAH CANTIK TERMURAH TANPA UANG MUKA DI SEDAYU,"Sedayu, Bantul",Rp 175.000.000,2,30,60
Rumah Kos 2 Lantai Dalam Perumahan One Gate Sistem,"Banguntapan, Bantul",Rp 1.000.000.000,4,140,85
Rumah Kost Full Furnish Lokasi Premium Seturan Yogyakarta,"Depok, Sleman",Rp 3.000.000.000,14,200,123
"Tanah Kulonprogo Standart Perumahan, Dekat Bandara YIA, Sertifikat SHM","Wates, Kulon Progo",Rp 294.000.000,3,45,184
DIJUAL RUMAH PERUMAHAN JOGJA KALIURANG SLEMAN,"Sleman, Sleman",Rp 689.500.000,2,45,112
Rumah Mewah Kavling Luas Type 110/229 Kolam Renang Pribadi Siap Bangun SHM,"Sleman, Sleman",Rp 2.150.000.000,4,110,229
Rumah Minimalis Full Furnish,"Mlati, Sleman",Rp 1.000.000.000,2,70,137
Rumah Murah Jogja Dekat Kampus UAD Shm Free Imb,"Pakualaman, Yogyakarta",Rp 655.000.000,2,40,100
Rumah 400 m arah barat Unirest Putra UMY,"Kasihan, Bantul",Rp 1.350.000.000,5,106,126
Hunian Nyaman di pusat Bisnis Jogja Babarsari,"Caturtunggal, Sleman",Rp 390.000.000,3,98,60
Rumah Mewah Sleman Type 195/390 Siap Bangun SHM Pecah,"Ngaglik, Sleman",Rp 3.567.000.000,5,195,390
RUMAH MURAH STRATEGIS DEKAT RSA UGM YOGYAKARTA,"Mlati, Sleman",Rp 495.000.000,2,50,90
DI JUAL BILLA JOGLO BARU AREA PALAGAN,Sleman,Rp 4.500.000.000,6,350,474
Rumah di Yogyakarta banyak bonus dibantu proses kpr,"Kalasan, Sleman",Rp 956.000.000,2,40,130
KOST DEKET KAMPUS KAMPUS JOGJA,"Kasihan, Bantul",Rp 1.700.000.000,9,109,118
Rumah Mewah Jakal Sleman 4 Kamar Tidur Siap Bangun SHM,"Ngaglik, Sleman",Rp 1.591.500.000,4,95,139
"Rumah Kolam Renang Pribadi di Jalan Kaliurang Km 9,5 Bawah UII","Ngaglik, Sleman",Rp 1.520.000.000,4,95,133
"RUMAH DAN PAVILIUN DI GEJAYAN, DEPOK, SLEMAN","Depok, Sleman",Rp 6.900.000.000,13,580,650
RUMAH MURAH 300 JUTAAN BISA KPR TEPI JALAN,"Bantul, Bantul",Rp 335.000.000,2,36,78
Rumah Utara Perumahan Pertamina Yogyakarta,"Purwo martani, Sleman",Rp 950.000.000,3,85,166
RUMAH SIAP HUNI DALAM PERUMAHAN PURWOMARTANI,"Purwo martani, Sleman",Rp 600.000.000,3,70,113
Rumah Minimalis Tengah Kota Yogyakarta Mantrijeron Dekat Jogokaryan,"Mantrijeron, Yogyakarta",Rp 875.000.000,3,55,125
"RUMAH SUBSIDI MURAH ,BERKUALITAS","Wonosari, Gunung Kidul",Rp 150.500.000,2,30,60
"PROMO POTONGAN HARGA 30 JT, RUMAH SIAP HUNI DI SLEMAN","Gamping, Sleman",Rp 485.000.000,2,45,105
RUMAH BARU TYPE 45 350JT PESONA MANGUNAN VILLAGE CATURHARJO SLEMAN YOGYAKARTA,"Sleman, Sleman",Rp 350.000.000,2,45,100
Rumah Minimalis 2 Lantai Tengah Kota Jogja Dekat Masjid Jogokaryan,"Mantrijeron, Yogyakarta",Rp 1.450.000.000,3,130,107
Rumah Dijual di Jogja,"Gondokusuman, Yogyakarta",Rp 1.526.000.000,3,139,130
"Rumah Siap Huni, Halaman Depan & Belakang",Bantul,Rp 400.000.000,3,140,170
Dijual Rumah Mewah 2 Lantai Siap Bangun,"Berbah, Sleman",Rp 1.100.000.000,4,108,101
Rumah Murah di Jual,"Sewon, Bantul",Rp 385.000.000,3,54,98
"RUMAH CANTIK FULLY FURNISHED DI TIMOHO, HALAMAN LUAS, DI BACIRO DEKAT KANTOR BALAIKOT","Umbulharjo, Yogyakarta",Rp 5.800.000.000,8,350,650
Rumah Jogja Strategis Utara Terminal Giwangan,"Kotagede, Yogyakarta",Rp 730.000.000,3,57,101
Rumah Kolam Renang 2 LT Strategis Dekat Ringroad Selatan,"Bantul, Bantul",Rp 1.100.000.000,3,115,115
RUMAH MURAH PRAMBANAN,"Kalasan, Sleman",Rp 365.000.000,2,36,70
Rumah Modern Klasik di Kotagede Lokasi Premium - Dalam Kota Jogja,"Kotagede, Yogyakarta",Rp 655.000.000,2,40,100
Jual Rumah Kost Lokasi Strategis Dekat Kampus,"Mlati, Sleman",Rp 5.000.000.000,25,610,644
"MIROTA BELI DISINI, RUMAH KEKINIAN BISA KPR","Sedayu, Bantul",Rp 379.000.000,2,36,72
"Rumah 300 JT-an di Jogja, Promo DP 17 JT Terbatas","Kasihan, Bantul",Rp 345.000.000,2,36,81
RUMAH MINIMALIS HARGA PALING MURAH BISA KPR DI BANTUL,"Bantul, Bantul",Rp 250.000.000,2,36,72
RUMAH FULL FURNISH TERMURAH DI KALASAN YOGYAKARTA,"Kalasan, Sleman",Rp 770.000.000,3,80,104
Rumah Mewah Sleman SHM Siap Bangun Jl Kaliurang Hadap Barat,"Caturtunggal, Sleman",Rp 2.167.000.000,4,110,229
Rumah mewah dekat ugm yogyakarta,"Ngaglik, Sleman",Rp 1.500.000.000,3,136,120
Rumah 2 Lantai Murah di Kawasan Jogja Utara Maguwoharjo Free BBN,"Maguwoharjo, Sleman",Rp 750.000.000,3,80,120
Rumah di Cluster mewah di perum Citra Sun Garden jl Solo,Sleman,Rp 5.300.000.000,4,250,210
Rumah Serasa Villa Dekat Kampus UMY Scandinavian Jogja,"Gamping, Sleman",Rp 508.000.000,1,40,77
TOWNHOUSE CANTIK 2 LANTAI LOKASI STRATEGIS DEKAT UPN,"Depok, Sleman",Rp 1.687.000.000,5,150,120
Rumah Senyaman Villa Scandinavian Sleman Jalan Wates Km 6,"Sleman, Sleman",Rp 492.000.000,2,40,80
Rumah Strategis Siap Bangun Depan Sdn 3 Sedayu,"Sedayu, Bantul",Rp 200.000.000,2,36,60
Rumah Murah Cantik Asri Siap Bangun Daerah Balecatur,"Gamping, Sleman",Rp 198.000.000,2,36,67
RUMAH IDAMAN SIAP HUNI FULL FURNISHED DI KALASAN SLEMAN,"Sleman, Sleman",Rp 770.000.000,3,80,104
Rumah Nuansa Villa Scandinavian Jalan Wates Km 6 Sleman,"Gamping, Sleman",Rp 1.263.500.000,4,95,144
Rumah Minimalis Harga Ekonomis 400Jt an dekat Jogja Bay Siap Huni,"Ngemplak, Sleman",Rp 490.000.000,2,40,70
Rumah Siap Huni Lingkungan Asri Dekat Kampus UMY Bantul,"Kasihan, Bantul",Rp 450.000.000,3,50,115
Rumah Kost 7 Kamar Dengan Harga Tebaik Di Seturan Yogyakarta,"Depok, Sleman",Rp 2.450.000.000,7,160,123
Rumah dijual strategis di dekat kampus Budi mulia dua,"Ngemplak, Sleman",Rp 575.000.000,3,85,96
"Rumah 2 Kamar, Tinggal 1 Unit Lagi, Hanya 10 Menit Dari Tugu Jogja","Godean, Sleman",Rp 548.500.000,2,45,117
Hunian Siap Bangun Berkualitas Daerah Gamping Sleman,"Gamping, Sleman",Rp 198.000.000,2,36,96
Megah Bertemakan Kolonial Klasik di Sleman,"Kalasan, Sleman",Rp 520.200.028,2,45,117
Rumah Megah Perum dkt Hartono Mall condongcatur dlm Ringroad,"Depok, Sleman",Rp 4.600.000.000,5,220,227
RUMAH CANTIK 2 LANTAI TERMURAH DEKAT SLEMAN CITY HALL,"Mlati, Sleman",Rp 975.000.000,4,100,120
Rumah Konsep Industrial di Jalan Palagan dekat Filosofi Kopi,"Ngaglik, Sleman",Rp 1.800.000.000,3,140,217
Dijual rumah minimalis murah di SLeman,"Sleman, Sleman",Rp 620.000.000,3,45,80
Rumah Baru Sleman,"Minggir, Sleman",Rp 350.000.000,2,50,108
rumah dijual di jogja,"Sleman, Sleman",Rp 689.500.000,2,45,93
Rumah murah jogja di jual dalam perumahan,Sleman,Rp 689.000.000,2,45,93
Rumah Konsep Mediterania Pertama di Yogyakarta Jl Wates Km 6 Sleman,"Gamping, Sleman",Rp 1.212.000.000,3,95,144
PERUMAHAN TERMURAH Dekat Jalan provinsi,"Sedayu, Bantul",Rp 488.888.888,2,45,90
Dijual Rumah Mewah Timur Pasar Gentan Kaliurang,"Ngaglik, Sleman",Rp 1.490.000.000,4,145,131
Rumah Baru Di Jalan Kaliurang Km 13 Dekat UII,"Sleman, Sleman",Rp 685.000.000,3,68,151
ISTIMEWA   Resort Mewah di Kampung bule YOGYAKARTA,"Kasihan, Bantul",Rp 3.200.000.000,4,207,307
Rumah Dijual Desain cantik di Purwomartani full furnished,"Purwo martani, Sleman",Rp 950.000.000,4,79,85
PROMO SIAP HUNI 2 LT 10 MENIT MALIOBORO,"Umbulharjo, Yogyakarta",Rp 2.600.000.000,4,140,138
"Hunian Baru di Tempel Sleman, utara Polres Sleman","Tempel, Sleman",Rp 295.000.000,2,36,90
Dapatkan Rumah Dengan Harga Murah Di Sedayu,"Sedayu, Bantul",Rp 200.000.000,2,36,70
Rumah 2 Lantai Siap Huni Strategis Dekat Kampus UGM dan RS Sardjito,"Ngaglik, Sleman",Rp 1.350.000.000,4,130,109
Jual Rumah Minimalis Area Kasongan Bantul Dekat Jl Bantul,"Kasihan, Bantul",Rp 415.000.000,2,40,210
Dijual rumah mewah dengan private poil,"Condong Catur, Sleman",Rp 2.000.000.000,5,200,210
JOGLO KLASIK MODERN LOKASI PREMIUM DI BARAT HOTEL HYATT PALAGAN,"Sleman, Sleman",Rp 3.550.000.000,4,135,334
Dijual Rumah Modern Exclusive di Sleman,"Purwo martani, Sleman",Rp 1.500.000.000,5,120,120
Rumah Strategis siap Huni 6 Menit dari Pasar Gamping,"Gamping, Sleman",Rp 730.000.000,3,68,125
Rumah Minimalis siap Huni dekat Jogja Bay,"Ngemplak, Sleman",Rp 790.000.000,3,75,104
Rumah Murah dekat Citra Grand Mutiara Waterpark Jl Wates Km  9,"Sedayu, Bantul",Rp 488.000.000,2,45,94
Rumah Murah Lokasi Strategis Selatan Kampus UII Kaliurang,"Ngaglik, Sleman",Rp 1.565.000.000,4,145,147
Rumah Murah Lokasi Strategis Selatan Kampus UII Kaliurang,"Ngaglik, Sleman",Rp 1.565.000.000,4,145,147
UNIT TERAKHIR DI JALAN UTAMA KOTA JOGJA,"Umbulharjo, Yogyakarta",Rp 2.600.000.000,4,140,138
Rumah Murah dalam perumahan bisa DP 0%,"Sedayu, Bantul",Rp 320.000.000,2,36,99
Jl Wates Km 6 Ambarketawang Gamping Sleman Yogyakarta,"Gamping, Sleman",Rp 492.100.000,2,40,73
Rumah Stategis dekat Sleman City Hall Mulai 580 Jtan,"Mlati, Sleman",Rp 580.000.000,2,120,223
Rumah Type 110/136 Kolam Renang Pribadi Hanya 15 Menit Ke UGM,"Ngaglik, Sleman",Rp 2.190.000.000,4,110,236
Rumah Istimewa Include Private Pool di Jogjakarta,"Ngaglik, Sleman",Rp 1.975.000.000,4,110,200
Dijual Murah Rumah Dekat Kampus UII Jakal,"Depok, Sleman",Rp 11.000.000.000,4,750,2050
"RUMAH SCANDINAVIAN DI GITO GATI PALAGAN KM 8, 15 MENIT KAMPUS UII &UGM","Ngaglik, Sleman",Rp 785.000.000,2,70,118
RUMAH MURAH SLEMAN DEKAT CANDI PRAMBANAN,"Kalasan, Sleman",Rp 365.000.000,1,36,70
"Rumah Dijual 290 Jutaan diutara RSUD Sleman, Dicicil Tanpa Bunga","Sleman, Sleman",Rp 290.000.000,2,36,90
Kode RSH1553 Rumah Cantik Dalam Perum Dekat Mall Ambarukmo Di Depok Sl,"Depok, Sleman",Rp 1.900.000.000,3,180,130
Rumah baru Sentolo Kulonprogo,"Sentolo, Kulon Progo",Rp 425.000.000,2,40,100
Jual Rumah Giwangan Bantul,"Imogiri, Bantul",Rp 760.000.000,2,48,96
Rumah Villa Scandinavian Dekat Pom Ambarketawang,"Gamping, Sleman",Rp 520.000.000,2,40,80
Rumah cluster jl Imogiri timur yogyakarta,Bantul,Rp 575.000.000,3,75,74
"TAHAP 1 SOLD OUT, RELEASE TAHAP 2, DI AREA CANDI PRAMBANAN","Prambanan, Sleman",Rp 526.000.000,2,45,74
Rumah Dalam Area Pedesaan Dekat Kampus UNRIYO Sleman,"Kalasan, Sleman",Rp 2.500.000.000,4,200,957
Rumah Dijual Murah di Kutu Tegal Jl Magelang Dekat TVRI jogja,"Tegalrejo, Yogyakarta",Rp 1.250.000.000,3,150,100
RUMAH MURAH FULL FURNISH BERADA DI TENGAH KOTA YOGYAKARTA,"Sewon, Bantul",Rp 3.000.000.000,4,420,284
rumah cluster murah view pegunungan wates kulon progo dekat samsat,"Wates, Kulon Progo",Rp 160.000.000,2,30,70
RUMAH MEWAH 2 LANTAI FULLY FURNISHED DI DEKAT KOTAGEDE JOGJA,"Banguntapan, Bantul",Rp 1.450.000.000,4,160,102
Rumah Dijual di Jogja,"Kraton, Yogyakarta",Rp 1.526.000.000,3,139,130
Rumah Murah Di Jogja Casa Mediterranea Bukit Mutiara Residence,"Gamping, Sleman",Rp 650.000.000,3,65,98
Rumah Siap huni dalam Perumahan di Sedayu,"Sedayu, Bantul",Rp 525.000.000,2,50,126
"GRIYA MULIA ,  DP 0% , free BPHTB, BBN, Peningkatan Hak","Playen, Gunung Kidul",Rp 199.000.000,2,36,60
"Rumah Classic Full Furnised siap Huni di Kraton, Yogyakarta dekat Malioboro","Kraton, Yogyakarta",Rp 4.500.000.000,5,150,248
Rumah dan Kost Kota Jogjakarta,"Umbulharjo, Yogyakarta",Rp 1.850.000.000,10,300,200
RUMAH NUANSA KLASIK TANAH LUAS  HARGA 600 JUTAAN DI PRAMBANAN,"Prambanan, Sleman",Rp 600.000.000,3,50,105
RUMAH DENGAN AKSES STRATEGIS DI JOGJA SELATAN HANYA 400 JUTAAN,"Banguntapan, Bantul",Rp 450.000.000,2,36,60
RUMAH SIAP HUNI 300 JUTAAN DI JOGJA SELATAN DEKET KASONGAN,"Sewon, Bantul",Rp 350.000.000,2,1,80
Miliki segera rumah mewah di jl Damai dekat UGM,"Kraton, Yogyakarta",Rp 1.941.656.000,3,136,116
Tanah Siap bangun Rumah Dekat Kampus UMY,"Bantul, Bantul",Rp 345.000.000,2,37,90
Rumah Murah di Berbah Sleman Dekat Lava Bantal Skema Bayar Mudah,"Berbah, Sleman",Rp 395.000.000,2,45,91
"PROMO DISKON 30 JUTA, RUMAH TIPE 54/94 HARGA 429 JUTA DI JOGJA","Kasihan, Bantul",Rp 429.000.000,3,54,94
GREENLAND GIWANGAN RUMAH MEWAH BEBAS BANJIR HARGA MURAH,"Pleret, Bantul",Rp 570.000.000,2,48,97
rumah nyaman investasi menjanjikan dekat tol jogja solo,"Kalasan, Sleman",Rp 700.000.000,2,45,94
Promo Akhir Tahun Rumah Impian Siap Bangun Cuma 198jt Saja,"Gamping, Sleman",Rp 198.000.000,2,36,67
ATRIA TOWNHOUSE GODEAN,Yogyakarta,Rp 670.000.000,2,47,105
Rumah murah 2 lantai perumahan belakang Hyatt Sleman istimewa Yogya,"Mlati, Sleman",Rp 1.600.000.000,3,180,108
Rumah 200 Jutaan Wates  Sudah All In,"Wates, Kulon Progo",Rp 288.000.000,2,36,98
DIJUAL VILLA Private Pool di Gamping - Dekat Kampus UMY,"Gamping, Sleman",Rp 1.249.000.000,3,110,146
Rumah Scandinavian Murah di Jogjakarta (BONUS Mezzanine),"Kasihan, Bantul",Rp 458.250.000,2,40,103
Rumah minimalis modern Siap Bangun Type 45 Dekat Pemda Sleman,"Mlati, Sleman",Rp 460.000.000,2,45,104
MILIKILAH HUNIAN CANTIK DENGAN GAYA CLASSIC MODERN DI KAWASAN PRAMBANAN,"Prambanan, Sleman",Rp 600.000.000,3,74,95
RUMAH 2 LANTAI HARGA TERJANGKAU DALAM CLUSTER DEKAT MAGUWOHARJO,"Maguwoharjo, Sleman",Rp 850.000.000,3,75,112
4 unit terakhir bisa KPR DP 5%,"Prambanan, Sleman",Rp 378.000.000,2,45,71
RUMAH MURAH DI JOGJA BARAT SHM SISA 1 UNIT DEKAT KAMPUS MERCUBUANA,"Sedayu, Bantul",Rp 285.000.000,2,30,60
"BIKIN PENGEN, RUMAH TERMURAH DI SLEMAN TIMUR AKSES MUDAH","Kalasan, Sleman",Rp 400.000.000,2,50,90
RUMAH MURAH TIPE BESAR 400 JUTAAN DI TEMPEL SLEMAN,"Tempel, Sleman",Rp 450.000.000,2,45,100
rumah dijual di jogja,"Ngaglik, Sleman",Rp 689.500.000,2,45,93
Rumah Free Desain Siap Bangun Minimalis Daerah Sedayu,"Sedayu, Bantul",Rp 251.000.000,2,36,71
Rumah  2 Lantai Private Pool Timur Stadion Maguwo,"Maguwoharjo, Sleman",Rp 1.700.000.000,4,110,172
RUMAH CANTIK MURAH DEKAT KANTOR BUPATI BANTUL,"Bantul, Bantul",Rp 212.000.000,2,30,60
RUMAH MODERN KLASIK DALAM KOTA JOGA (SHM READY) DEKAT PMI KOTAGEDE,"Kotagede, Yogyakarta",Rp 730.000.000,3,57,101
"1 UNIT TERAKHIR, RUMAH SIAP HUNI 10 MENIT PUSAT KOTA JOGJA","Imogiri, Bantul",Rp 475.000.000,2,45,70
JAKAL DEKAT UII BESI JANGKANG,"Ngaglik, Sleman",Rp 689.500.000,2,45,112
PROMO rumah tipe 36 HARGA 275 juta lokasi 5 menit pemda bantul,"Pajangan, Bantul",Rp 275.000.000,2,36,105
Rumah Murah Jogja  Dekat Malioboro Padat Perumahan,"Bantul, Bantul",Rp 372.000.000,2,40,103
RUMAH MEWAH DI PUSAT KOTA JOGJA 1 MENIT DARI AMPLAZ,"Depok, Sleman",Rp 4.199.000.000,3,240,333
Rumah Baru Getas Tlogoadi mlati sleman,"Mlati, Sleman",Rp 495.000.000,2,45,90
DM Village Banguntapan,"Banguntapan, Bantul",Rp 804.000.000,3,72,75
PROMO rumah tipe 36 HARGA 275 juta lokasi 5 menit pemda bantul,"Pajangan, Bantul",Rp 275.000.000,2,36,105
Rumah Murah Jogja  Dekat Malioboro Padat Perumahan,"Bantul, Bantul",Rp 372.000.000,2,40,103
RUMAH MEWAH DI PUSAT KOTA JOGJA 1 MENIT DARI AMPLAZ,"Depok, Sleman",Rp 4.199.000.000,3,240,333
Rumah Cluster di Belakang RSUD Sleman harga 400 JT-an,"Sleman, Sleman",Rp 468.000.000,2,54,113
Rumah Minimalis Tipe 30 Kulonprogo Murah - Cocok untuk Pasangan Muda,"Pengasih, Kulon Progo",Rp 153.500.000,2,76,76
"Rumah 300jt-an Jogja, Kalasan, Sleman Desain Joglo Etnic","Kalasan, Sleman",Rp 365.000.000,2,36,70
RUMAH 2 LANTAI 750JT DEKAT KOTA YOGYAKARTA,"Banguntapan, Bantul",Rp 750.000.000,3,65,84
AKSES MUDAH HARGA MURAH 300JUTAAN DI MOYUDAN GODEAN,"Moyudan, Sleman",Rp 395.000.000,2,50,80
Perumahan dekat Kota Jogja harga mulai 345 JT,"Kasihan, Bantul",Rp 345.000.000,2,36,74
Rumah Minimalis Strategis Dekat Kampus UMY,"Kasihan, Bantul",Rp 330.000.000,2,36,101
Dijual Rumah mewah strategis mangku jalan nasional,"Wates, Kulon Progo",Rp 550.000.000,3,55,136
RUMAH DESAIN JOGLO MODERN DENGAN KOLAM RENANG DI PRAMBANAN,"Prambanan, Sleman",Rp 1.349.999.000,4,115,370
RUMAH SIAP HUNI TERMURAH TENGAH KOTA YOGYAKARTA,"Umbulharjo, Yogyakarta",Rp 1.000.000.000,3,85,93
Banyak Promo! Rumah 1 Lantai Type 50 C17 Asana Residence Godean Jogja,"Godean, Sleman",Rp 804.500.000,2,50,158
hunian minimalist di kawasan asri untuk keluarga muda,"Sedayu, Bantul",Rp 400.000.000,2,36,78
Rumah Murah di Sleman Barat utara Pasar Godean,"Seyegan, Sleman",Rp 375.000.000,2,36,105
RUMAH MURAH KALASAN BISA KPR MUDAH DP RINGAN,"Kalasan, Sleman",Rp 580.000.000,3,55,112
RUMAH CANTIK PALING MURAH DI BANGUNTAPAN 400 JUTAAN,"Banguntapan, Bantul",Rp 475.000.000,2,45,94
Kost 10 kamar,"Kasihan, Bantul",Rp 2.200.000.000,10,152,152
Bangun Rumah Sederhana Murah Menyesuaikan Bajet,"Mergangsan, Yogyakarta",Rp 151.000.000,2,50,60
"DIJUAL RUMAH MEWAH 2,5 LANTAI DEKAT BALAI KOTA JOGJA","Umbulharjo, Yogyakarta",Rp 3.900.000.000,4,300,140
HUNIAN MODERN DI JALAN KALIURANG DEKAT KAMPUS UII,"Sleman, Sleman",Rp 689.500.000,2,45,112
Dijual Hunian Mewah Lokasi Premium di Sleman,Bantul,Rp 1.500.000.000,5,120,120
Guest House Strategis di Pusat Kota Yogyakarta,"Kraton, Yogyakarta",Rp 7.300.000.000,26,597,585
Rumah 1 Unit Hook Murah Jarang Ada (Griya Paramitha) Sedayu,"Sedayu, Bantul",Rp 377.000.000,2,50,119
"Jual Rumah Minimalis Area Prambanan Sleman, Rumah Dijual Murah Dekat RSUD Prambanan","Prambanan, Sleman",Rp 595.000.000,3,62,115
RUMAH 2 LANTAI HARGA BAWAH PASARAN 5 MENIT DARI MAGUWOHARJO,"Ngemplak, Sleman",Rp 950.000.000,3,85,115
Rumah sederhana tepi aspal ngipik banguntapan,"Banguntapan, Bantul",Rp 285.000.000,1,60,60
Dijual rumah selangkah ke kampus UGM,"Mlati, Sleman",Rp 550.000.000,2,3,130
Rumah bagus 2 lantai di dalam perumahan elit jalan palagan km 10,"Jetis, Yogyakarta",Rp 3.200.000.000,4,225,221
Hunian Tengah Kota Nuansa Desa di Selatan Stadion Maguwoharjo,"Maguwoharjo, Sleman",Rp 235.000.000,2,4,60
1 Unit Rumah Kost 14 Kamar Dekat Tugu Yogyakarta,"Tegalrejo, Yogyakarta",Rp 2.913.400.000,14,200,114
Di jual rumah siap huni Murah dalam kodya umbulhajro,"Umbulharjo, Yogyakarta",Rp 350.000.000,2,37,60
Rumah di Yogyakarta Dekat Dengan Malioboro,"Umbulharjo, Yogyakarta",Rp 830.000.000,3,80,89
Rumah Baru di jual,"Bantul, Bantul",Rp 360.000.000,2,50,75
Tersisa 1 Unit Terakhir Rumah 2 Lantai di Godean Sleman 800 Jutaan,"Godean, Sleman",Rp 859.000.000,3,75,108
Rumah 2 Lantai Strategis Dekat UMY Harga Murah,"Banguntapan, Bantul",Rp 1.100.000.000,3,115,114
Dijual Segera Rumah siap Bangun Murah Sekitar UMY,"Banguntapan, Bantul",Rp 850.000.000,2,85,102
Rumah Minimalis  Strategis Dekat Kasongan Harga Murah,Bantul,Rp 374.000.000,2,37,97
Gratis BBN Rumah Murah Siap Huni Dekat Kampus UMY,"Kasihan, Bantul",Rp 424.000.000,2,45,75
Kavling Rumah Minimalis Ringroad Selatan,"Pajangan, Bantul",Rp 570.000.000,2,45,100
Dijual Rumah Siap Bangun  Dekat Kampus UMY Bebas Balik Nama,"Banguntapan, Bantul",Rp 570.000.000,2,45,102
Gratis Balik Nama Rumah Siap Huni Kawasan Kampus UMY,"Bantul, Bantul",Rp 374.000.000,2,37,84
Free Ac Rumah Minimalis Selatan UMY,"Bantul, Bantul",Rp 374.000.000,2,37,85
Rumah Minimalis Tingkat cocok untuk Kost dan Rumah,"Kasihan, Bantul",Rp 850.000.000,2,85,100
Bonus AC Rumah Murah Selatan UMY,"Sedayu, Bantul",Rp 374.000.000,2,37,104
Gratis Balik Nama Rumah Siap Huni Sekitar UMY,"Sedayu, Bantul",Rp 374.000.000,2,37,83
Rumah Minimalis Strategis Dekat Kampus UMY Harga Murah,"Sedayu, Bantul",Rp 570.000.000,2,45,100
Free Ac Rumah Minimalis Dekat Kampus UMY,"Bantul, Bantul",Rp 374.000.000,2,37,100
Kavling Rumah Strategis Dekat Ringroad Selatan Harga Murah,"Bantul, Bantul",Rp 570.000.000,2,45,103
Dijual Segera Rumah siap Bangun Free Balik Nama,"Bantul, Bantul",Rp 570.000.000,2,45,103
Bonus AC Rumah Proses Bangun Sekitar UMY,"Bantul, Bantul",Rp 374.000.000,2,37,79
Fee BBN Rumah Murah Dekat Kampus UMY,"Kasihan, Bantul",Rp 374.000.000,2,37,104
Rumah Siap Bangun Dekat Kmapus UMY Free Balik Nama,"Sedayu, Bantul",Rp 570.000.000,2,45,102
Kavling Cluter Murah Dekat Ringroad Selatan Harga Murah,"Pajangan, Bantul",Rp 850.000.000,2,85,100
Free Ac Rumah Minimalis Selatan UMY,"Bantul, Bantul",Rp 374.000.000,2,37,85
Gratis Balik Nama Rumah Proses Bangun Dekat UMY,"Pajangan, Bantul",Rp 374.000.000,2,37,94
Bonus AC Rumah Murah Selatan UMY,"Pajangan, Bantul",Rp 374.000.000,2,37,82
Rumah Murah  Dekat Kampus Alma Ata Jetis Bantul,"Bantul, Bantul",Rp 570.000.000,2,45,104
Rumah siap Bangun  Disen minimalis Harga Murah,"Sedayu, Bantul",Rp 850.000.000,2,85,101
Free Ac Rumah Baru Kawasan Kampus UMY,"Kasihan, Bantul",Rp 374.000.000,2,37,92
Free Ac Rumah Murah Dekat UMY,"Bantul, Bantul",Rp 374.000.000,2,37,91
Rumah Minimalis Tingkat cocok untuk Kost dan Rumah,"Kasihan, Bantul",Rp 570.000.000,2,45,105
Rumah Murah  Dekat Kampus Alma Ata Jetis Bantul,"Bantul, Bantul",Rp 850.000.000,2,85,103
Tanah  Minimalis Dekat Kampus UMY Harga Murah,"Sedayu, Bantul",Rp 570.000.000,2,45,102
Kavling Rumah Murah Dekat Kasongan Harga Murah,"Banguntapan, Bantul",Rp 850.000.000,2,85,105
Rumah Minimalis Strategis Dekat Kampus UMY Harga Murah,"Kasihan, Bantul",Rp 850.000.000,2,85,101
Bonus Pagar Rumah Proses Bangun Selatan UMY,"Banguntapan, Bantul",Rp 374.000.000,2,37,87
Rumah Minimalis  Strategis Dekat Kasongan Harga Murah,"Bantul, Bantul",Rp 570.000.000,2,45,101
Rumah Siap Bangun  kawasan perumahan FREE Balik Nama,"Bantul, Bantul",Rp 850.000.000,2,85,105
Free Ac Rumah Baru Dekat Kampus UMY,"Bantul, Bantul",Rp 374.000.000,2,37,90
